epoch, time   , train/box_loss, train/cls_loss, train/dfl_loss, metrics/precision(B), metrics/recall(B), metrics/mAP50(B), metrics/mAP50-95(B), val/box_loss, val/cls_loss, val/dfl_loss, lr/pg0     , lr/pg1     , lr/pg2
    1, 11.672 ,              0,        80.3122,              0,                    0,                 0,                0,                   0,            0,      9.74581,            0, 8.33e-06   , 8.33e-06   , 8.33e-06
    2, 20.7105,              0,        80.1477,              0,                    0,                 0,                0,                   0,            0,      9.70371,            0, 1.26199e-05, 1.26199e-05, 1.26199e-05
